OBJECTID,id,name,lat,lon,_ACSTOTPOP,_ACSIPOVBAS,_ACSTOTHH,_ACSEDUCBAS,_PRE1960,_buff,_stabbr,_statename,_region,_S_P_PM25,_R_P_PM25,_N_P_PM25,_S_P_O3,_R_P_O3,_N_P_O3,_S_P_DIESEL,_R_P_DIESEL,_N_P_DIESEL,_S_P_CANCER,_R_P_CANCER,_N_P_CANCER,_S_P_RESP,_R_P_RESP,_N_P_RESP,_S_P_TRAFFIC,_R_P_TRAFFIC,_N_P_TRAFFIC,_S_P_LEAD,_R_P_LEAD,_N_P_LEAD,_S_P_NPL,_R_P_NPL,_N_P_NPL,_S_P_RMP,_R_P_RMP,_N_P_RMP,_S_P_TSDF,_R_P_TSDF,_N_P_TSDF,_S_P_NPDES,_R_P_NPDES,_N_P_NPDES,_RAW_E_PM25,_S_E_PM25_PER,_R_E_PM25_PER,_N_E_PM25_PER,_S_E_PM25,_R_E_PM25,_N_E_PM25,_RAW_E_O3,_S_E_O3_PER,_R_E_O3_PER,_N_E_O3_PER,_S_E_O3,_R_E_O3,_N_E_O3,_RAW_E_DIESEL,_S_E_DIESEL_PER,_R_E_DIESEL_PER,_N_E_DIESEL_PER,_S_E_DIESEL,_R_E_DIESEL,_N_E_DIESEL,_RAW_E_CANCER,_S_E_CANCER_PER,_R_E_CANCER_PER,_N_E_CANCER_PER,_S_E_CANCER,_R_E_CANCER,_N_E_CANCER,_RAW_E_RESP,_S_E_RESP_PER,_R_E_RESP_PER,_N_E_RESP_PER,_S_E_RESP,_R_E_RESP,_N_E_RESP,_RAW_E_TRAFFIC,_S_E_TRAFFIC_PER,_R_E_TRAFFIC_PER,_N_E_TRAFFIC_PER,_S_E_TRAFFIC,_R_E_TRAFFIC,_N_E_TRAFFIC,_RAW_E_LEAD,_S_E_LEAD_PER,_R_E_LEAD_PER,_N_E_LEAD_PER,_S_E_LEAD,_R_E_LEAD,_N_E_LEAD,_RAW_E_NPL,_S_E_NPL_PER,_R_E_NPL_PER,_N_E_NPL_PER,_S_E_NPL,_R_E_NPL,_N_E_NPL,_RAW_E_RMP,_S_E_RMP_PER,_R_E_RMP_PER,_N_E_RMP_PER,_S_E_RMP,_R_E_RMP,_N_E_RMP,_RAW_E_TSDF,_S_E_TSDF_PER,_R_E_TSDF_PER,_N_E_TSDF_PER,_S_E_TSDF,_R_E_TSDF,_N_E_TSDF,_RAW_E_NPDES,_S_E_NPDES_PER,_R_E_NPDES_PER,_N_E_NPDES_PER,_S_E_NPDES,_R_E_NPDES,_N_E_NPDES,_RAW_D_INDEX,_S_D_INDEX_PER,_R_D_INDEX_PER,_N_D_INDEX_PER,_S_D_INDEX,_R_D_INDEX,_N_D_INDEX,_RAW_D_MINOR,_S_D_MINOR_PER,_R_D_MINOR_PER,_N_D_MINOR_PER,_S_D_MINOR,_R_D_MINOR,_N_D_MINOR,_RAW_D_INCOME,_S_D_INCOME_PER,_R_D_INCOME_PER,_N_D_INCOME_PER,_S_D_INCOME,_R_D_INCOME,_N_D_INCOME,_RAW_D_LING,_S_D_LING_PER,_R_D_LING_PER,_N_D_LING_PER,_S_D_LING,_R_D_LING,_N_D_LING,_RAW_D_LESSHS,_S_D_LESSHS_PER,_R_D_LESSHS_PER,_N_D_LESSHS_PER,_S_D_LESSHS,_R_D_LESSHS,_N_D_LESSHS,_RAW_D_UNDER5,_S_D_UNDER5_PER,_R_D_UNDER5_PER,_N_D_UNDER5_PER,_S_D_UNDER5,_R_D_UNDER5,_N_D_UNDER5,_RAW_D_OVER64,_S_D_OVER64_PER,_R_D_OVER64_PER,_N_D_OVER64_PER,_S_D_OVER64,_R_D_OVER64,_N_D_OVER64
779,NH6962714,Facility NH6962714,43.83079895,-72.29786278,2633,2537,879,1687,192,1 miles,NH,New Hampshire,1,24,18,17,18,11,8,28,28,22,25,14,13,25,15,16,25,28,14,37,38,11,0,0,0,51,51,36,23,17,7,22,23,19,5.16,16,4,2,5.43,6.34,8.3,40.1,82,37,29,37.9,41.1,43,0.182,47,<50th,<50th,0.204,0.344,0.479,22,35,<50th,<50th,23,25,32,0.26,37,<50th,<50th,0.28,0.31,0.44,200,59,41,48,390,930,750,0.22,42,22,54,0.31,0.45,0.28,1.4,99,99,99,0.18,0.15,0.13,0.065,30,11,7,0.24,0.57,0.74,0.83,60,49,60,1.4,2.4,4,0.00036,70,57,60,0.14,0.24,14,13%,50,33,13,15%,24%,36%,9%,70,38,21,9%,24%,39%,16%,45,40,24,21%,25%,33%,0%,69,46,45,1%,5%,4%,8%,70,59,45,7%,9%,13%,3%,34,32,23,5%,5%,6%,12%,29,30,40,16%,16%,15%
780,MN6107943,Facility MN6107943,44.10200527,-93.67827851,10471,10352,4060,6607,2169,1 miles,MN,Minnesota,5,82,72,57,82,72,57,83,73,57,82,72,57,82,72,57,86,76,64,56,52,31,82,73,57,59,48,33,87,77,67,3,6,4,7.03,55,10,19,6.68,8.63,8.3,37.7,86,11,20,36.2,43.4,43,0.224,38,<50th,<50th,0.333,0.446,0.479,21,41,<50th,<50th,24,26,32,0.27,39,<50th,<50th,0.31,0.34,0.44,260,71,59,54,440,530,750,0.52,76,68,77,0.31,0.38,0.28,0.018,18,8,15,0.18,0.13,0.13,2.8,96,94,95,0.76,0.82,0.74,0.87,63,56,61,1.2,1.5,4,0.7,98,93,94,0.27,0.82,14,33%,80,70,54,22%,28%,36%,24%,73,65,43,19%,25%,39%,41%,82,71,67,25%,31%,33%,8%,89,89,79,2%,2%,4%,15%,89,79,69,7%,10%,13%,7%,59,63,61,6%,6%,6%,14%,51,47,52,15%,15%,15%
781,IN672012,Facility IN672012,39.69211655,-86.14311051,1964,1957,720,1346,473,1 miles,IN,Indiana,5,62,58,43,64,61,46,37,32,24,59,55,44,56,52,43,22,22,18,33,34,19,7,6,4,9,9,6,3,5,4,2,5,3,9.77,95,92,85,9,8.63,8.3,42.9,10,26,44,43.9,43.4,43,0.918,96,90-95th,90-95th,0.449,0.446,0.479,32,94,80-90th,50-60th,26,26,32,0.46,97,90-95th,50-60th,0.34,0.34,0.44,750,87,82,76,380,530,750,0.61,81,75,82,0.34,0.38,0.28,0.8,96,97,97,0.17,0.13,0.13,3.2,96,95,96,0.82,0.82,0.74,7.8,99,97,94,1.1,1.5,4,0.87,95,93,94,0.45,0.82,14,31%,69,67,50,27%,28%,36%,7%,37,31,16,20%,25%,39%,54%,82,84,82,33%,31%,33%,1%,65,60,45,2%,2%,4%,29%,93,94,88,12%,10%,13%,8%,67,71,68,6%,6%,6%,12%,42,40,44,15%,15%,15%
782,NH555878,Facility NH555878,43.01102795,-71.31403123,235,229,124,206,54,1 miles,NH,New Hampshire,1,50,36,28,38,26,16,58,55,38,52,36,26,53,38,30,33,34,18,17,22,5,8,3,1,64,61,44,36,29,13,33,33,23,4.79,0,1,1,5.43,6.34,8.3,39.8,77,31,28,37.9,41.1,43,0.112,23,<50th,<50th,0.204,0.344,0.479,19,8,<50th,<50th,23,25,32,0.21,9,<50th,<50th,0.28,0.31,0.44,180,57,39,45,390,930,750,0.36,68,43,67,0.31,0.45,0.28,0.48,90,94,94,0.18,0.15,0.13,0.054,24,8,5,0.24,0.57,0.74,0.64,54,43,56,1.4,2.4,4,0.00014,58,49,55,0.14,0.24,14,6%,16,9,2,15%,24%,36%,0%,5,3,1,9%,24%,39%,12%,32,31,17,21%,25%,33%,0%,69,46,45,1%,5%,4%,6%,48,42,31,7%,9%,13%,0%,4,5,4,5%,5%,6%,45%,99,99,98,16%,16%,15%
783,PA1240634,Facility PA1240634,40.81039839,-75.18554104,4502,4502,1986,3404,777,1 miles,PA,Pennsylvania,3,53,42,31,56,46,36,33,28,20,51,43,34,48,42,34,9,8,6,52,32,19,0,0,0,8,4,4,11,8,6,2,1,0,10.3,79,91,92,9.49,8.64,8.3,47,85,82,81,45.6,44.9,43,0.691,86,70-80th,80-90th,0.445,0.477,0.479,33,65,60-70th,50-60th,32,31,32,0.43,78,60-70th,50-60th,0.37,0.4,0.44,1600,93,90,88,570,640,750,0.37,42,60,68,0.48,0.36,0.28,3.2,99,99,99,0.19,0.15,0.13,2.5,93,95,93,0.79,0.62,0.74,3.2,88,89,85,1.4,1.3,4,270,94,97,99,71,30,14,23%,61,47,36,26%,30%,36%,32%,76,60,51,23%,32%,39%,14%,23,27,20,30%,28%,33%,5%,83,82,70,2%,3%,4%,8%,48,46,43,10%,11%,13%,5%,50,47,43,6%,6%,6%,13%,30,39,46,17%,16%,15%
784,MN9439994,Facility MN9439994,45.05531956,-93.02556393,9488,9214,3784,6282,1084,1 miles,MN,Minnesota,5,66,61,45,70,62,47,44,41,31,57,51,42,56,50,41,19,20,17,61,57,35,2,2,1,45,33,22,16,14,9,N/A,81,74,7.44,88,14,25,6.68,8.63,8.3,36,34,4,14,36.2,43.4,43,0.584,87,70-80th,70-80th,0.333,0.446,0.479,32,95,80-90th,50-60th,24,26,32,0.44,91,80-90th,50-60th,0.31,0.34,0.44,1500,93,92,87,440,530,750,0.28,55,45,60,0.31,0.38,0.28,1.6,98,99,99,0.18,0.13,0.13,0.59,56,59,64,0.76,0.82,0.74,3.4,90,87,86,1.2,1.5,4,0,N/A,28,37,0.27,0.82,14,29%,76,66,49,22%,28%,36%,29%,79,70,49,19%,25%,39%,29%,66,54,50,25%,31%,33%,5%,84,84,71,2%,2%,4%,5%,49,35,30,7%,10%,13%,7%,63,66,63,6%,6%,6%,16%,61,58,61,15%,15%,15%
785,IN1440831,Facility IN1440831,41.46666275,-85.36526276,5639,5148,2346,3956,996,1 miles,IN,Indiana,5,58,54,39,58,55,41,56,50,38,52,48,40,48,44,38,29,28,23,50,49,28,3,3,2,30,27,18,33,33,23,22,22,13,8.87,40,51,67,9,8.63,8.3,43.7,41,36,49,43.9,43.4,43,0.353,40,<50th,<50th,0.449,0.446,0.479,30,89,80-90th,<50th,26,26,32,0.45,94,80-90th,50-60th,0.34,0.34,0.44,430,75,70,65,380,530,750,0.38,63,56,68,0.34,0.38,0.28,1.2,98,98,98,0.17,0.13,0.13,1.2,77,76,80,0.82,0.82,0.74,0.91,63,57,62,1.1,1.5,4,0.0061,69,69,76,0.45,0.82,14,25%,60,59,41,27%,28%,36%,16%,59,53,31,20%,25%,39%,34%,55,61,56,33%,31%,33%,0%,64,58,45,2%,2%,4%,11%,59,67,57,12%,10%,13%,5%,42,44,43,6%,6%,6%,21%,81,79,79,15%,15%,15%
786,MN5956280,Facility MN5956280,44.64595906,-94.01454604,6354,6276,2476,4222,1778,1 miles,MN,Minnesota,5,90,81,69,90,81,68,92,84,74,91,83,69,91,84,69,97,95,88,93,86,84,95,97,94,93,89,84,95,90,86,94,87,85,7.45,90,15,26,6.68,8.63,8.3,35.9,27,3,13,36.2,43.4,43,0.645,92,80-90th,70-80th,0.333,0.446,0.479,30,85,80-90th,<50th,24,26,32,0.44,90,80-90th,50-60th,0.31,0.34,0.44,1300,92,90,85,440,530,750,0.68,86,80,86,0.31,0.38,0.28,0.86,96,97,97,0.18,0.13,0.13,1.9,90,88,90,0.76,0.82,0.74,5.8,96,94,92,1.2,1.5,4,0.0011,78,57,66,0.27,0.82,14,49%,91,83,72,22%,28%,36%,51%,91,83,67,19%,25%,39%,46%,87,77,73,25%,31%,33%,7%,88,87,76,2%,2%,4%,14%,87,76,66,7%,10%,13%,9%,80,81,79,6%,6%,6%,11%,35,31,36,15%,15%,15%
787,NH946143,Facility NH946143,42.64586931,-71.89232081,2285,2285,732,1506,26,1 miles,NH,New Hampshire,1,37,29,23,36,25,15,34,32,25,32,19,16,32,20,19,59,54,33,87,74,38,19,9,3,12,19,15,23,16,7,9,8,10,5.61,67,15,4,5.43,6.34,8.3,40.3,98,44,30,37.9,41.1,43,0.231,63,<50th,<50th,0.204,0.344,0.479,26,76,60-70th,<50th,23,25,32,0.31,74,50-60th,<50th,0.28,0.31,0.44,46,35,20,23,390,930,750,0.035,6,1,23,0.31,0.45,0.28,0.28,80,88,90,0.18,0.15,0.13,0.34,79,58,52,0.24,0.57,0.74,1.3,69,59,69,1.4,2.4,4,0.0071,88,84,77,0.14,0.24,14,7%,18,11,3,15%,24%,36%,7%,60,32,17,9%,24%,39%,7%,13,14,7,21%,25%,33%,0%,69,46,45,1%,5%,4%,3%,26,25,18,7%,9%,13%,3%,35,32,23,5%,5%,6%,13%,35,37,46,16%,16%,15%
788,IN1251457,Facility IN1251457,42.39830104,-86.27959297,2004,1776,705,1395,186,1 miles,IN,Indiana,5,55,51,37,56,53,40,52,46,35,57,54,43,57,52,43,18,19,15,43,43,24,1,1,1,66,61,44,68,64,48,N/A,81,74,8.92,44,53,69,9,8.63,8.3,42.9,12,26,44,43.9,43.4,43,0.361,42,<50th,<50th,0.449,0.446,0.479,23,21,<50th,<50th,26,26,32,0.3,27,<50th,<50th,0.34,0.34,0.44,410,74,69,63,380,530,750,0.24,47,41,56,0.34,0.38,0.28,1.2,98,98,98,0.17,0.13,0.13,0.32,45,46,50,0.82,0.82,0.74,0.084,9,12,15,1.1,1.5,4,0,N/A,28,37,0.45,0.82,14,22%,53,52,35,27%,28%,36%,10%,46,41,23,20%,25%,39%,32%,53,59,54,33%,31%,33%,0%,64,58,45,2%,2%,4%,8%,44,54,45,12%,10%,13%,5%,36,38,38,6%,6%,6%,13%,46,42,47,15%,15%,15%
789,PA129166,Facility PA129166,41.89848273,-75.22690481,13815,13744,6052,9760,5360,1 miles,PA,Pennsylvania,3,59,48,36,58,48,38,53,44,34,57,49,39,56,49,40,39,31,24,28,16,9,6,3,1,23,15,13,31,23,17,17,11,7,8.39,16,47,51,9.49,8.64,8.3,43.2,7,26,46,45.6,44.9,43,0.329,34,<50th,<50th,0.445,0.477,0.479,26,29,<50th,<50th,32,31,32,0.33,32,<50th,<50th,0.37,0.4,0.44,300,54,55,57,570,640,750,0.75,76,85,90,0.48,0.36,0.28,1.2,98,98,98,0.19,0.15,0.13,0.95,72,79,75,0.79,0.62,0.74,1.1,61,65,65,1.4,1.3,4,0.054,78,86,87,71,30,14,21%,56,42,32,26%,30%,36%,6%,33,21,13,23%,32%,39%,36%,68,69,59,30%,28%,33%,0%,57,55,45,2%,3%,4%,11%,62,60,54,10%,11%,13%,5%,48,45,41,6%,6%,6%,19%,62,68,73,17%,16%,15%
790,MN2011689,Facility MN2011689,44.40215389,-93.90713737,8658,8584,3237,5784,2142,1 miles,MN,Minnesota,5,87,77,63,87,77,63,88,79,67,87,78,63,87,79,64,92,86,75,90,81,76,95,97,93,90,83,75,89,81,74,92,86,83,7.42,86,14,25,6.68,8.63,8.3,36.1,36,4,14,36.2,43.4,43,0.688,94,80-90th,80-90th,0.333,0.446,0.479,32,91,80-90th,50-60th,24,26,32,0.46,96,90-95th,50-60th,0.31,0.34,0.44,1600,93,92,88,440,530,750,0.64,84,77,84,0.31,0.38,0.28,2.8,99,99,99,0.18,0.13,0.13,1.5,84,83,86,0.76,0.82,0.74,3.6,91,88,86,1.2,1.5,4,0.0008,76,56,65,0.27,0.82,14,41%,86,78,64,22%,28%,36%,43%,87,79,61,19%,25%,39%,39%,80,68,64,25%,31%,33%,6%,87,86,74,2%,2%,4%,11%,79,65,55,7%,10%,13%,7%,58,62,60,6%,6%,6%,11%,38,34,39,15%,15%,15%
791,IN8074940,Facility IN8074940,39.91671546,-86.2392859,8408,8189,3777,5715,2707,1 miles,IN,Indiana,5,63,59,44,63,60,45,52,46,35,60,56,45,59,55,45,16,17,14,33,34,19,28,24,17,18,16,10,67,63,48,44,42,27,8.57,15,34,57,9,8.63,8.3,43.6,37,34,48,43.9,43.4,43,0.511,68,60-70th,60-70th,0.449,0.446,0.479,28,74,60-70th,<50th,26,26,32,0.38,72,70-80th,<50th,0.34,0.34,0.44,870,89,84,79,380,530,750,0.64,83,77,84,0.34,0.38,0.28,0.26,85,90,89,0.17,0.13,0.13,2,89,88,90,0.82,0.82,0.74,0.12,19,19,22,1.1,1.5,4,0.00019,44,47,57,0.45,0.82,14,27%,62,61,44,27%,28%,36%,14%,55,49,28,20%,25%,39%,39%,65,69,65,33%,31%,33%,3%,81,77,62,2%,2%,4%,12%,62,70,60,12%,10%,13%,7%,60,64,61,6%,6%,6%,16%,62,59,63,15%,15%,15%
792,MN88111,Facility MN88111,44.39572202,-93.07532913,19146,18461,8198,12306,3406,1 miles,MN,Minnesota,5,87,77,63,87,77,63,86,76,61,87,78,63,86,77,62,95,91,82,78,70,51,31,19,14,64,54,38,28,25,17,16,28,17,7.47,92,15,26,6.68,8.63,8.3,35.7,19,2,12,36.2,43.4,43,0.816,98,90-95th,80-90th,0.333,0.446,0.479,31,89,80-90th,<50th,24,26,32,0.46,96,80-90th,50-60th,0.31,0.34,0.44,1400,92,91,86,440,530,750,0.39,66,57,69,0.31,0.38,0.28,0.29,85,91,90,0.18,0.13,0.13,2.1,92,90,91,0.76,0.82,0.74,7.7,97,97,94,1.2,1.5,4,0.0012,79,58,67,0.27,0.82,14,52%,92,85,75,22%,28%,36%,56%,92,85,70,19%,25%,39%,49%,89,80,77,25%,31%,33%,7%,88,88,77,2%,2%,4%,13%,85,73,62,7%,10%,13%,9%,77,79,77,6%,6%,6%,8%,19,16,19,15%,15%,15%
793,NH5612966,Facility NH5612966,42.38148232,-70.06888925,573,573,239,408,63,1 miles,NH,New Hampshire,1,46,34,27,49,34,21,54,52,37,51,35,25,51,36,29,55,51,30,45,45,14,5,2,1,69,64,46,45,37,18,N/A,80,74,5.56,62,14,3,5.43,6.34,8.3,37,31,14,17,37.9,41.1,43,0.136,33,<50th,<50th,0.204,0.344,0.479,21,28,<50th,<50th,23,25,32,0.25,30,<50th,<50th,0.28,0.31,0.44,70,41,25,29,390,930,750,0.24,45,25,56,0.31,0.45,0.28,0.6,94,96,96,0.18,0.15,0.13,0.049,20,6,4,0.24,0.57,0.74,0.45,48,38,50,1.4,2.4,4,0,N/A,24,37,0.14,0.24,14,11%,42,27,10,15%,24%,36%,8%,64,33,18,9%,24%,39%,14%,39,36,21,21%,25%,33%,2%,77,54,54,1%,5%,4%,4%,33,30,22,7%,9%,13%,13%,97,96,94,5%,5%,6%,18%,60,62,69,16%,16%,15%
794,PA6226712,Facility PA6226712,41.49578558,-75.81288347,5123,5085,1945,3485,1396,1 miles,PA,Pennsylvania,3,77,68,58,77,68,58,78,70,60,77,68,57,78,69,58,45,36,28,80,77,71,42,31,21,81,76,67,81,75,68,86,89,86,9.88,55,81,87,9.49,8.64,8.3,44.8,29,40,61,45.6,44.9,43,0.584,72,60-70th,70-80th,0.445,0.477,0.479,38,87,90-95th,70-80th,32,31,32,0.43,78,60-70th,50-60th,0.37,0.4,0.44,280,52,53,55,570,640,750,0.67,68,80,86,0.48,0.36,0.28,0.74,95,97,97,0.19,0.15,0.13,1.1,75,82,78,0.79,0.62,0.74,0.9,57,61,62,1.4,1.3,4,0.0051,56,72,75,71,30,14,33%,75,65,55,26%,30%,36%,32%,76,61,52,23%,32%,39%,34%,66,68,58,30%,28%,33%,3%,79,77,65,2%,3%,4%,16%,80,77,70,10%,11%,13%,5%,54,50,46,6%,6%,6%,15%,42,51,58,17%,16%,15%
795,MN7516591,Facility MN7516591,44.89487106,-93.30949772,549,545,233,418,86,1 miles,MN,Minnesota,5,40,42,30,43,42,31,30,29,22,36,31,27,33,28,26,1,2,2,20,20,12,2,1,1,23,15,10,15,13,9,1,3,2,7.12,60,11,20,6.68,8.63,8.3,36.6,60,7,16,36.2,43.4,43,0.415,66,50-60th,50-60th,0.333,0.446,0.479,28,67,60-70th,<50th,24,26,32,0.39,74,70-80th,<50th,0.31,0.34,0.44,1900,94,94,90,440,530,750,0.37,65,55,67,0.31,0.38,0.28,0.68,94,96,96,0.18,0.13,0.13,0.85,67,68,72,0.76,0.82,0.74,1.6,76,70,73,1.2,1.5,4,0.64,98,93,94,0.27,0.82,14,7%,8,6,3,22%,28%,36%,8%,36,34,18,19%,25%,39%,6%,8,6,6,25%,31%,33%,1%,58,60,45,2%,2%,4%,2%,18,12,11,7%,10%,13%,8%,75,77,74,6%,6%,6%,22%,82,82,82,15%,15%,15%
796,IN3191838,Facility IN3191838,38.66242598,-86.69758269,5503,4836,1875,3216,1173,1 miles,IN,Indiana,5,58,54,40,58,55,41,55,49,37,56,53,43,56,52,43,35,35,28,39,39,22,6,5,4,42,38,25,39,39,27,22,22,13,8.85,39,49,67,9,8.63,8.3,44.6,84,55,59,43.9,43.4,43,0.37,44,<50th,<50th,0.449,0.446,0.479,26,57,50-60th,<50th,26,26,32,0.34,56,50-60th,<50th,0.34,0.34,0.44,280,65,61,56,380,530,750,0.54,76,70,79,0.34,0.38,0.28,0.86,96,97,97,0.17,0.13,0.13,0.55,58,58,62,0.82,0.82,0.74,0.7,58,52,57,1.1,1.5,4,0.009,73,72,79,0.45,0.82,14,23%,54,53,36,27%,28%,36%,8%,38,33,17,20%,25%,39%,43%,70,74,70,33%,31%,33%,0%,64,59,45,2%,2%,4%,22%,87,89,82,12%,10%,13%,7%,66,69,67,6%,6%,6%,12%,39,37,42,15%,15%,15%
797,NH9278274,Facility NH9278274,43.79819076,-70.1796848,1101,1091,371,734,60,1 miles,NH,New Hampshire,1,11,10,11,13,8,6,19,20,18,13,7,9,13,8,11,37,37,20,39,40,12,0,0,0,31,36,26,62,51,28,N/A,80,74,5.65,73,17,4,5.43,6.34,8.3,39,59,18,25,37.9,41.1,43,0.199,54,<50th,<50th,0.204,0.344,0.479,23,56,<50th,<50th,23,25,32,0.28,53,<50th,<50th,0.28,0.31,0.44,93,47,29,34,390,930,750,0.15,29,12,45,0.31,0.45,0.28,0.91,98,98,98,0.18,0.15,0.13,0.11,46,22,17,0.24,0.57,0.74,0.12,19,13,21,1.4,2.4,4,0,N/A,24,37,0.14,0.24,14,6%,12,7,1,15%,24%,36%,3%,28,15,8,9%,24%,39%,8%,18,17,9,21%,25%,33%,0%,69,46,45,1%,5%,4%,5%,47,41,30,7%,9%,13%,11%,95,94,90,5%,5%,6%,6%,7,9,14,16%,16%,15%
798,MN3336803,Facility MN3336803,47.45971115,-91.52788155,2476,2449,1085,1742,814,1 miles,MN,Minnesota,5,78,69,53,78,68,53,75,68,52,79,69,54,79,69,54,59,52,41,40,38,21,24,14,10,73,63,46,72,67,51,10,17,10,5.22,8,1,2,6.68,8.63,8.3,31.4,1,0,4,36.2,43.4,43,0.201,34,<50th,<50th,0.333,0.446,0.479,17,14,<50th,<50th,24,26,32,0.2,13,<50th,<50th,0.31,0.34,0.44,96,47,37,34,440,530,750,0.72,88,82,88,0.31,0.38,0.28,0.72,94,97,97,0.18,0.13,0.13,0.24,37,40,44,0.76,0.82,0.74,0.11,30,18,21,1.2,1.5,4,0.038,89,81,86,0.27,0.82,14,28%,74,63,46,22%,28%,36%,11%,46,43,24,19%,25%,39%,44%,85,75,71,25%,31%,33%,1%,65,65,50,2%,2%,4%,8%,68,53,45,7%,10%,13%,7%,57,61,59,6%,6%,6%,15%,57,54,58,15%,15%,15%
799,PA3301918,Facility PA3301918,40.67956998,-78.96615692,32,31,13,23,9,1 miles,PA,Pennsylvania,3,43,32,23,43,35,26,60,50,39,52,45,35,51,45,36,77,69,59,27,16,8,63,52,38,27,18,15,30,21,16,37,23,15,9.39,35,72,78,9.49,8.64,8.3,45.5,39,48,68,45.6,44.9,43,0.17,8,<50th,<50th,0.445,0.477,0.479,22,8,<50th,<50th,32,31,32,0.27,11,<50th,<50th,0.37,0.4,0.44,0,4,5,4,570,640,750,0.48,53,68,75,0.48,0.36,0.28,0.028,8,11,25,0.19,0.15,0.13,0.5,55,65,60,0.79,0.62,0.74,0.71,51,56,57,1.4,1.3,4,0.0026,49,67,72,71,30,14,15%,37,26,19,26%,30%,36%,2%,13,9,4,23%,32%,39%,29%,56,58,48,30%,28%,33%,0%,57,55,45,2%,3%,4%,9%,53,51,47,10%,11%,13%,6%,61,57,52,6%,6%,6%,17%,53,60,66,17%,16%,15%
800,MN1184741,Facility MN1184741,46.0342725,-94.20528711,10862,10750,4255,7620,2628,1 miles,MN,Minnesota,5,79,70,54,80,70,54,70,65,49,79,69,54,78,68,54,86,77,64,51,48,28,49,38,28,72,62,45,35,31,21,26,37,24,7.36,79,13,23,6.68,8.63,8.3,36.2,41,5,14,36.2,43.4,43,0.52,80,60-70th,60-70th,0.333,0.446,0.479,29,76,70-80th,<50th,24,26,32,0.4,80,70-80th,<50th,0.31,0.34,0.44,800,87,83,77,440,530,750,0.59,81,74,81,0.31,0.38,0.28,1.3,98,99,99,0.18,0.13,0.13,0.46,51,54,58,0.76,0.82,0.74,2.1,81,76,78,1.2,1.5,4,0.0014,79,59,68,0.27,0.82,14,31%,78,68,51,22%,28%,36%,34%,82,74,53,19%,25%,39%,28%,63,51,47,25%,31%,33%,1%,65,65,50,2%,2%,4%,7%,62,47,40,7%,10%,13%,8%,69,73,70,6%,6%,6%,13%,47,43,48,15%,15%,15%
801,IN6562889,Facility IN6562889,38.27380324,-86.01308588,1668,1651,647,929,104,1 miles,IN,Indiana,5,78,76,61,79,76,62,80,78,65,79,77,62,80,77,62,86,84,73,81,77,70,94,97,93,79,78,66,86,83,78,46,45,30,7.67,1,17,31,9,8.63,8.3,42.7,5,24,43,43.9,43.4,43,0.387,47,50-60th,<50th,0.449,0.446,0.479,29,77,70-80th,<50th,26,26,32,0.36,63,60-70th,<50th,0.34,0.34,0.44,380,72,67,62,380,530,750,0.15,34,29,46,0.34,0.38,0.28,1.2,98,98,98,0.17,0.13,0.13,0.36,48,49,53,0.82,0.82,0.74,1.7,78,72,74,1.1,1.5,4,0.000033,37,39,49,0.45,0.82,14,38%,78,75,61,27%,28%,36%,12%,51,45,26,20%,25%,39%,63%,89,90,90,33%,31%,33%,3%,80,75,61,2%,2%,4%,13%,64,71,61,12%,10%,13%,10%,84,87,85,6%,6%,6%,10%,26,26,31,15%,15%,15%
802,NH3284602,Facility NH3284602,43.84803783,-70.3538232,5815,4892,2319,4297,2170,1 miles,NH,New Hampshire,1,93,76,55,93,76,54,94,77,57,93,76,55,93,76,56,63,59,37,59,55,20,42,23,9,30,35,25,94,77,57,55,46,30,5.08,14,4,1,5.43,6.34,8.3,35.1,12,8,10,37.9,41.1,43,0.0576,3,<50th,<50th,0.204,0.344,0.479,17,1,<50th,<50th,23,25,32,0.18,1,<50th,<50th,0.28,0.31,0.44,200,59,41,48,390,930,750,0.79,94,86,92,0.31,0.45,0.28,0.96,98,98,98,0.18,0.15,0.13,1,96,81,77,0.24,0.57,0.74,0.027,0,1,2,1.4,2.4,4,0.000048,48,42,51,0.14,0.24,14,26%,88,68,43,15%,24%,36%,10%,72,41,22,9%,24%,39%,43%,90,82,70,21%,25%,33%,2%,78,55,55,1%,5%,4%,12%,85,73,60,7%,9%,13%,5%,54,52,39,5%,5%,6%,18%,63,65,71,16%,16%,15%
803,MN2964102,Facility MN2964102,44.07059047,-93.44111176,14318,13169,4640,5255,2109,1 miles,MN,Minnesota,5,92,83,71,91,83,70,95,89,81,92,85,72,93,87,73,97,95,89,91,83,79,98,99,98,95,91,87,98,96,93,94,88,85,7.5,97,16,27,6.68,8.63,8.3,35.5,16,2,12,36.2,43.4,43,0.868,98,90-95th,80-90th,0.333,0.446,0.479,32,93,80-90th,50-60th,24,26,32,0.47,97,90-95th,60-70th,0.31,0.34,0.44,2200,95,95,91,440,530,750,0.43,70,61,72,0.31,0.38,0.28,1.6,98,99,99,0.18,0.13,0.13,2.2,93,90,92,0.76,0.82,0.74,11,99,99,96,1.2,1.5,4,0.00083,76,56,65,0.27,0.82,14,49%,91,83,73,22%,28%,36%,28%,77,69,48,19%,25%,39%,69%,97,93,93,25%,31%,33%,5%,85,84,72,2%,2%,4%,8%,64,49,42,7%,10%,13%,2%,10,15,15,6%,6%,6%,3%,3,2,3,15%,15%,15%
